scope,scope_cn,event_code,effect,event_template,group_dimension,group_value,validator,value_scale,observed_rounds,round_counts_json,session_count,offered_count,selected_count,resolved_count,observed_value_min,observed_value_median,observed_value_max,reported_item_count_min,reported_item_count_max,reported_cell_count_min,reported_cell_count_max,protocol_quality_codes,protocol_catalog_item_count,validation_eligible,validation_match_count,validation_match_rate,semantic_status,text_status,coverage_status,evidence_basis
personal,个人事件,1702,reveal_position_by_quality,显示所有蓝色品质藏品的位置,quality,蓝,quality_蓝_count,1,5,"{""5"": 351}",351,351,118,123,0,0,0,1,18,1,18,[],0,120,119,0.991667,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1703,reveal_position_by_quality,显示所有紫色品质藏品的位置,quality,紫,quality_紫_count,1,5,"{""5"": 351}",351,351,114,116,0,0.0,0,3,26,3,26,[],0,116,114,0.982759,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1801,size_average_value,计算本局所有规格为1×1的藏品平均价值,size,1x1,size_1x1_average_value,1,2,"{""2"": 234}",234,234,75,75,1814,82084,960416,0,0,0,0,[],0,75,40,0.533333,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1802,size_average_value,计算本局所有规格为1×2的藏品平均价值,size,1x2,size_1x2_average_value,1,2,"{""2"": 220}",220,220,70,71,4701,84591,501402,0,0,0,0,[],0,70,46,0.657143,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1803,size_average_value,计算本局所有规格为1×3的藏品平均价值,size,1x3,size_1x3_average_value,1,2,"{""2"": 191}",191,191,52,57,2446,90390,443979,0,0,0,0,[],0,54,27,0.5,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1804,size_average_value,计算本局所有规格为2×1的藏品平均价值,size,2x1,size_2x1_average_value,1,2,"{""2"": 227}",227,227,69,72,4507,88545.5,831869,0,0,0,0,[],0,71,50,0.704225,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1805,size_average_value,计算本局所有规格为2×2的藏品平均价值,size,2x2,size_2x2_average_value,1,2,"{""2"": 227}",227,227,72,74,3797,94232.5,2539483,0,0,0,0,[],0,74,50,0.675676,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1806,size_average_value,计算本局所有规格为2×3的藏品平均价值,size,2x3,size_2x3_average_value,1,2,"{""2"": 232}",232,232,81,83,3747,80932,1399373,0,0,0,0,[],0,81,59,0.728395,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1807,size_average_value,计算本局所有规格为3×1的藏品平均价值,size,3x1,size_3x1_average_value,1,2,"{""2"": 225}",225,225,74,77,15862,101598,420618,0,0,0,0,[],0,76,60,0.789474,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1808,size_average_value,计算本局所有规格为3×2的藏品平均价值,size,3x2,size_3x2_average_value,1,2,"{""2"": 224}",224,224,70,70,28317,118845.0,788996,0,0,0,0,[],0,69,44,0.637681,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1809,size_average_value,计算本局所有规格为3×3的藏品平均价值,size,3x3,size_3x3_average_value,1,2,"{""2"": 39}",39,39,12,12,659511,992601.0,3061687,0,0,0,0,[],0,12,11,0.916667,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1901,quality_average_area,计算本局所有白色品质藏品的平均占用格数,quality,白,quality_白_average_area,100,"1,4","{""1"": 318, ""4"": 118}",418,436,134,138,0,293.5,600,0,0,0,0,[],0,138,111,0.804348,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1902,quality_average_area,计算本局所有蓝色品质藏品的平均占用格数,quality,蓝,quality_蓝_average_area,100,"1,4","{""1"": 325, ""4"": 142}",445,467,143,148,100,286.0,600,0,0,0,0,[],0,147,111,0.755102,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1903,quality_average_area,计算本局所有紫色品质藏品的平均占用格数,quality,紫,quality_紫_average_area,100,"1,4","{""1"": 328, ""4"": 106}",418,434,142,145,0,366,525,0,0,0,0,[],0,143,98,0.685315,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1904,quality_average_area,计算本局所有金色品质藏品的平均占用格数,quality,金,quality_金_average_area,100,"1,4","{""1"": 280, ""4"": 141}",401,421,128,130,190,311.0,500,0,0,0,0,[],0,130,90,0.692308,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1905,quality_average_area,计算本局所有彩色品质藏品的平均占用格数,quality,彩,quality_彩_average_area,100,4,"{""4"": 85}",85,85,30,32,100,400.0,900,0,0,0,0,[],0,31,30,0.967742,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,101,reveal_outline_by_size,显示所有规格为1×1的藏品轮廓,size,1x1,size_1x1_count,1,"2,4","{""2"": 144, ""4"": 90}",234,234,0,234,0,0.0,0,1,19,1,19,[],0,232,224,0.965517,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,"2,4","{""2"": 144, ""4"": 82}",226,226,0,226,0,0.0,0,1,12,2,24,[],0,220,202,0.918182,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,103,reveal_outline_by_size,显示所有规格为1×3的藏品轮廓,size,1x3,size_1x3_count,1,"2,4","{""2"": 122, ""4"": 97}",219,219,0,219,0,0,0,1,15,3,45,[],0,214,192,0.897196,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,104,reveal_outline_by_size,显示所有规格为2×1的藏品轮廓,size,2x1,size_2x1_count,1,"2,4","{""2"": 134, ""4"": 82}",216,216,0,216,0,0.0,0,1,11,2,22,[],0,216,214,0.990741,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,"2,4","{""2"": 138, ""4"": 86}",224,224,0,224,0,0.0,0,1,14,4,56,[],0,223,221,0.991031,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,106,reveal_outline_by_size,显示所有规格为2×3的藏品轮廓,size,2x3,size_2x3_count,1,"2,4","{""2"": 150, ""4"": 73}",223,223,0,223,0,0,0,1,12,6,72,[],0,220,220,1.0,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,107,reveal_outline_by_size,显示所有规格为3×1的藏品轮廓,size,3x1,size_3x1_count,1,"2,4","{""2"": 145, ""4"": 76}",221,221,0,221,0,0,0,1,10,3,30,[],0,219,216,0.986301,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,108,reveal_outline_by_size,显示所有规格为3×2的藏品轮廓,size,3x2,size_3x2_count,1,"2,4","{""2"": 127, ""4"": 88}",215,215,0,215,0,0,0,1,13,6,78,[],0,214,213,0.995327,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,109,reveal_outline_by_size,显示所有规格为3×3的藏品轮廓,size,3x3,size_3x3_count,1,"2,4","{""2"": 24, ""4"": 11}",35,35,0,35,0,0,0,1,3,9,27,[],0,35,35,1.0,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,"1,3,5","{""1"": 148, ""3"": 87, ""5"": 33}",268,268,0,268,3,10.0,25,0,0,0,0,[],0,266,261,0.981203,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,402,reveal_position_quality_random,随机显示5件藏品的位置与品质,random,5,fixed_item_count,1,"1,3,5","{""1"": 133, ""3"": 79, ""5"": 40}",252,252,0,252,0,0.0,0,5,5,5,5,"[1, 2, 3, 4, 5]",0,251,251,1.0,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,"1,3,5","{""1"": 155, ""3"": 82, ""5"": 28}",265,265,0,265,0,0,0,3,3,4,18,"[1, 2, 3, 4, 5]",795,262,262,1.0,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,604,quality_total_value,计算本局金色品质藏品总价值,quality,金,quality_金_total_value,1,"1,3,5","{""1"": 134, ""3"": 79, ""5"": 43}",256,256,0,256,340965,1676568.5,3873610,0,0,0,0,[],0,254,246,0.968504,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,701,reveal_largest_area_item_outline,显示本局占格数最多的藏品轮廓,global,largest_area_item,fixed_item_count,1,"1,3,5","{""1"": 127, ""3"": 85, ""5"": 33}",245,245,0,245,0,0,0,1,1,4,9,[],0,238,238,1.0,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,901,max_item_value,显示本局单件价值最高的藏品价值,global,max_item_value,max_item_value,1,"1,3,5","{""1"": 159, ""3"": 97, ""5"": 31}",287,287,0,287,138522,971708,3061687,0,0,0,0,[],0,284,273,0.961268,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,1001,max_value_per_cell,显示本局单个单位格最高价值,global,max_value_per_cell,max_value_per_cell,1,"1,3,5","{""1"": 143, ""3"": 78, ""5"": 30}",251,251,0,251,40154,270951,2685114,0,0,0,0,[],0,249,190,0.763052,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,1101,highest_quality,显示本局藏品的最高品质,global,highest_quality,highest_quality,1,"1,3,5","{""1"": 154, ""3"": 93, ""5"": 27}",274,274,0,274,4,5.0,5,0,0,0,0,[],0,270,269,0.996296,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,1201,total_occupied_cells,计算本局所有藏品的总占格数,global,total_occupied_cells,total_occupied_cells,1,"1,3,5","{""1"": 147, ""3"": 85, ""5"": 32}",264,264,0,264,27,114.0,236,0,0,0,0,[],0,262,228,0.870229,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,1704,reveal_position_by_quality,显示所有金色品质藏品的位置,quality,金,quality_金_count,1,"1,3,5","{""1"": 151, ""3"": 86, ""5"": 30}",267,267,0,267,0,0,0,3,24,3,24,[],0,264,263,0.996212,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
public,公共事件,1705,reveal_position_by_quality,显示所有彩色品质藏品的位置,quality,彩,quality_彩_count,1,"1,3,5","{""1"": 114, ""3"": 86, ""5"": 24}",224,224,0,224,0,0.0,0,1,5,1,5,[],0,222,201,0.905405,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
