session_id,auction_tier,date,hour,continuous_game_number,mode,schema_version,duration_seconds,termination_reason,round_count_observed,parse_quality_status,parse_limitation_count,protocol_status,protocol_parser_version,protocol_event_count,protocol_valid_event_count,protocol_unknown_event_count,protocol_schema_mismatch_count,protocol_settlement_valid,settlement_total,settlement_confidence,treasure_count,detected_value_sum,value_sum_difference,value_sum_matches,catalog_assignment_found,catalog_assignment_mode,catalog_independent_of_settlement_total,geometry_source,geometry_settlement_independent,final_occupied_cells,identity_review_item_count,clue_quality_conflict_count,treasure_blue_count,treasure_purple_count,treasure_gold_count,treasure_other_quality_count,treasure_1x1_count,treasure_1x2_count,treasure_2x1_count,treasure_2x2_count,treasure_other_size_count,treasure_value_min,treasure_value_median,treasure_value_mean,treasure_value_max,postgame_review_status,postgame_value_gate_status,postgame_value_gate_matches,final_treasure_review_status
session_9ed0a054dc86af1c,S,2026-07-27,17,21,adb-observer,1,109.704,final-capture-complete,3,complete,3,,,,,,,,2470126,0.9951,17,2470126,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,57,0,0,4,4,5,4,2,2,3,3,7,2446,106949,145301.529412,659511,pending_round_clue_review,matched,true,auto_confirmed
session_86d2ebaaf76123f3,S,2026-07-27,17,22,adb-observer,1,197.265,final-capture-complete,4,needs_review,3,,,,,,,,6062138,0.992744,46,9059777,2997639,false,true,classifier,true,yolo26n_background_catalog_scored,true,148,1,0,13,11,14,8,10,6,5,11,14,2360,60868.5,196951.673913,2999999,pending_final_treasure_review,mismatched,false,pending
session_725156bd9a749365,S,2026-07-27,17,23,adb-observer,1,246.265,final-capture-complete,5,needs_review,3,,,,,,,,6063243,0.975659,34,6063243,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,110,0,2,6,11,10,7,8,3,5,5,13,3797,86233.5,178330.676471,2394967,pending_round_clue_review,matched,true,auto_confirmed
session_9b539def46afb4d3,S,2026-07-27,17,24,adb-observer,1,269.282,final-capture-complete,4,complete,3,,,,,,,,6232105,0.994901,45,6232105,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,143,0,0,14,15,9,7,12,2,5,6,20,2446,61123,138491.222222,1635681,pending_round_clue_review,matched,true,auto_confirmed
session_98edab3e88657055,S,2026-07-27,17,25,adb-observer,1,158.172,final-capture-complete,2,complete,3,,,,,,,,4131007,0.994158,53,4131007,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,173,0,0,11,21,18,3,9,10,1,4,29,1420,67435,77943.528302,225664,pending_round_clue_review,matched,true,auto_confirmed
session_305a030ef23d6eb7,S,2026-07-27,17,26,adb-observer,1,180.532,final-capture-complete,5,complete,3,,,,,,,,3126298,0.995975,25,3126298,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,87,0,0,7,9,6,3,5,2,4,4,10,2446,61123,125051.92,630423,pending_round_clue_review,matched,true,auto_confirmed
session_40dd56dbaf72cfc0,S,2026-07-27,17,27,adb-observer,1,142.297,final-capture-complete,1,needs_review,3,,,,,,,,6437249,0.987957,42,6465381,28132,false,true,classifier,true,yolo26n_background_catalog_scored,true,143,2,0,11,16,7,8,7,5,4,4,22,2446,71497.0,153937.642857,1080961,pending_final_treasure_review,mismatched,false,pending
session_d5818f3d0481e84b,S,2026-07-27,17,28,adb-observer,1,157.891,final-capture-complete,4,complete,3,,,,,,,,2527644,0.990396,33,2527644,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,113,0,0,8,15,6,4,4,2,5,8,14,4507,47954,76595.272727,281034,pending_round_clue_review,matched,true,auto_confirmed
session_32b7abf8da97d168,S,2026-07-27,17,29,adb-observer,1,122.407,final-capture-complete,3,complete,3,,,,,,,,2439786,0.986057,25,2439786,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,71,0,0,6,6,11,2,7,6,1,2,9,4507,67435,97591.44,364855,pending_round_clue_review,matched,true,auto_confirmed
session_d31665139f7807dd,S,2026-07-27,17,30,adb-observer,1,49.61,final-capture-complete,1,complete,3,,,,,,,,1780818,0.988396,18,1780818,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,71,0,0,3,6,8,1,1,2,2,5,8,7982,94369.0,98934.333333,302326,pending_round_clue_review,matched,true,auto_confirmed
session_24d7528882980c54,S,2026-07-27,17,31,adb-observer,1,109.906,final-capture-complete,1,complete_with_identity_review,3,,,,,,,,4027489,0.943121,39,4027489,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,140,1,0,12,14,9,4,8,4,3,4,20,2446,51756,103268.948718,992601,pending_round_clue_review,matched,true,auto_confirmed
session_04fd3bd62c827f26,S,2026-07-27,17,32,adb-observer,1,51.859,final-capture-complete,1,complete,3,,,,,,,,1887746,0.978794,21,1887746,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,70,0,0,3,6,8,4,4,0,2,5,10,6685,60614,89892.666667,281034,pending_round_clue_review,matched,true,auto_confirmed
session_2bb8b627b615f56b,S,2026-07-27,17,33,adb-observer,1,142.328,final-capture-complete,4,complete_with_identity_review,3,,,,,,,,4067282,0.981859,18,4067282,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,63,1,0,2,7,4,5,0,3,2,5,8,1420,87872.5,225960.111111,1293299,pending_round_clue_review,matched,true,auto_confirmed
session_f7c91c69b13acf69,S,2026-07-27,17,34,adb-observer,1,166.328,final-capture-complete,2,complete,3,,,,,,,,6604817,0.991919,44,6604817,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,138,0,0,10,10,13,11,8,7,8,4,17,1420,60316.0,150109.477273,1587435,pending_round_clue_review,matched,true,auto_confirmed
session_ce2e8895ef1d7a9f,S,2026-07-27,17,35,adb-observer,1,181.172,final-capture-complete,3,complete,3,,,,,,,,5448601,0.987536,34,5448601,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,97,0,0,7,10,12,5,8,7,2,2,15,1420,82918.0,160252.970588,2394967,pending_round_clue_review,matched,true,auto_confirmed
session_08040f9e160dc0c8,S,2026-07-27,18,36,adb-observer,1,159.594,final-capture-complete,3,complete_with_identity_review,3,,,,,,,,3354014,0.985312,33,3354014,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,105,1,0,7,12,10,4,3,5,4,3,18,3747,79737,101636.787879,381262,pending_round_clue_review,matched,true,auto_confirmed
session_f9ff292d1ef6fc0b,S,2026-07-27,18,37,adb-observer,1,175.719,final-capture-complete,4,needs_review,3,,,,,,,,2044833,0.99186,21,1869777,-175056,false,true,classifier,true,yolo26n_background_catalog_scored,true,65,0,0,4,5,10,2,5,3,1,1,11,1814,60018,89037.0,225664,pending_final_treasure_review,mismatched,false,pending
session_55b1c93af2d31d45,S,2026-07-27,18,38,adb-observer,1,151.468,final-capture-complete,4,needs_review,3,,,,,,,,2953145,0.986799,21,2778089,-175056,false,true,classifier,true,yolo26n_background_catalog_scored,true,66,0,0,5,6,8,2,6,4,0,4,7,7279,98067,132289.952381,878245,pending_final_treasure_review,mismatched,false,pending
session_da8e622013d9087c,S,2026-07-27,18,39,adb-observer,1,246.563,final-capture-complete,5,needs_review,3,,,,,,,,6790385,0.984687,41,6790385,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,146,1,1,7,12,13,9,5,5,4,3,24,1420,93012,165619.146341,1956574,pending_round_clue_review,matched,true,auto_confirmed
session_d6a52c612f652da8,S,2026-07-27,18,40,adb-observer,1,103.015,final-capture-complete,2,complete_with_identity_review,3,,,,,,,,4077390,0.982696,39,4077390,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,119,1,0,5,14,14,6,10,4,4,6,15,3797,85093,104548.461538,438654,pending_round_clue_review,matched,true,auto_confirmed
session_e1eb91494c33f40f,S,2026-07-27,18,41,adb-observer,1,247.828,final-capture-complete,5,complete_with_identity_review,3,,,,,,,,4610276,0.996231,41,4610276,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,126,1,0,7,15,8,11,14,3,2,6,16,1814,71497,112445.756098,540336,pending_round_clue_review,matched,true,auto_confirmed
session_6204851eec9eb3c5,S,2026-07-27,18,42,adb-observer,1,289.235,final-capture-complete,5,complete,3,,,,,,,,5986133,0.991075,41,5986133,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,139,0,0,6,13,16,6,6,6,6,7,16,3747,96819,146003.243902,1878833,pending_round_clue_review,matched,true,auto_confirmed
session_446322114cec4b5a,S,2026-07-27,18,43,adb-observer,1,85.015,final-capture-complete,1,complete,3,,,,,,,,6718722,0.986,41,6718722,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,141,0,0,10,10,14,7,6,8,4,6,17,1814,92730,163871.268293,2539483,pending_round_clue_review,matched,true,auto_confirmed
session_bc555066c489d37b,S,2026-07-27,18,44,adb-observer,1,177.468,final-capture-complete,5,complete_with_identity_review,3,,,,,,,,4619785,0.987722,21,4619785,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,52,1,0,1,7,8,5,9,1,2,4,5,3797,115115,219989.761905,1307336,pending_round_clue_review,matched,true,auto_confirmed
session_f43534ae3972037a,S,2026-07-27,18,45,adb-observer,1,220.672,final-capture-complete,5,complete,3,,,,,,,,6592713,0.980985,53,6592713,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,184,0,0,13,18,17,5,13,3,5,5,27,3747,79737,124390.811321,1486670,pending_round_clue_review,matched,true,auto_confirmed
session_77d7a5b7d472f37c,S,2026-07-27,18,46,adb-observer,1,180.329,final-capture-complete,3,needs_review,3,,,,,,,,5523932,0.978551,53,6293978,770046,false,true,classifier,true,yolo26n_background_catalog_scored,true,171,1,1,14,17,14,8,10,9,9,2,23,1420,67435,118754.301887,776546,pending_final_treasure_review,mismatched,false,pending
session_5a565ef12db12680,S,2026-07-27,18,47,adb-observer,1,180.828,final-capture-complete,5,complete,3,,,,,,,,2274337,0.987881,16,2274337,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,65,0,0,2,8,4,2,2,1,1,2,10,5567,102508.0,142146.0625,776546,pending_round_clue_review,matched,true,auto_confirmed
session_e6eab468587921a1,S,2026-07-27,18,48,adb-observer,1,94.454,final-capture-complete,2,complete,3,,,,,,,,2197319,0.992043,25,2197319,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,81,0,0,6,8,8,3,6,3,2,2,12,3747,60614,87892.76,302326,pending_round_clue_review,matched,true,auto_confirmed
session_5df300d92035d05b,S,2026-07-27,18,49,adb-observer,1,154.016,final-capture-complete,4,complete,3,,,,,,,,3828247,0.98382,27,3828247,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,80,0,0,10,8,4,5,6,3,3,5,10,3797,44974,141786.925926,1878833,pending_round_clue_review,matched,true,auto_confirmed
session_70529810fcc8ecb3,S,2026-07-27,18,50,adb-observer,1,150.562,final-capture-complete,4,complete_with_identity_review,3,,,,,,,,5152816,0.996687,20,5152816,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,73,1,0,4,5,5,6,3,3,3,1,10,1814,76672.0,257640.8,2557820,pending_round_clue_review,matched,true,auto_confirmed
session_4d46c5f009dbf4a2,S,2026-07-27,18,51,adb-observer,1,168.157,final-capture-complete,4,complete,3,,,,,,,,3940600,0.989731,24,3940600,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,77,0,0,5,7,9,3,4,3,1,8,8,6271,91580.0,164191.666667,1293299,pending_round_clue_review,matched,true,auto_confirmed
session_32d6a4c715783ee6,S,2026-07-27,18,52,adb-observer,1,167.937,final-capture-complete,4,complete,3,,,,,,,,3629305,0.97883,30,3629305,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,90,0,0,4,8,15,3,11,1,4,3,11,6271,93720.0,120976.833333,659511,pending_round_clue_review,matched,true,auto_confirmed
session_bf517dc8474bff5c,S,2026-07-27,18,53,adb-observer,1,47.25,final-capture-complete,1,complete,3,,,,,,,,1462518,0.997845,17,1462518,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,47,0,0,2,8,5,2,3,3,2,1,8,1420,73106,86030.470588,281034,pending_round_clue_review,matched,true,auto_confirmed
session_665799e5f8b9c64d,S,2026-07-27,18,54,adb-observer,1,218.563,final-capture-complete,5,complete,3,,,,,,,,5009194,0.994554,38,5009194,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,148,0,0,14,12,9,3,5,4,3,9,17,2360,60018.0,131820.894737,2539483,pending_round_clue_review,matched,true,auto_confirmed
session_22776f177f9c2df7,S,2026-07-27,18,55,adb-observer,1,134.797,final-capture-complete,2,complete,3,,,,,,,,4716312,0.975093,34,4716312,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,107,0,0,8,15,7,4,3,6,5,7,13,2446,76421.5,138715.058824,1878833,pending_round_clue_review,matched,true,auto_confirmed
session_67ea12fed60840cb,S,2026-07-27,18,56,adb-observer,1,165.657,final-capture-complete,4,needs_review,3,,,,,,,,3692692,0.988111,42,3692692,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,146,0,1,8,13,14,7,4,6,5,9,18,2446,70620.5,87921.238095,381262,pending_round_clue_review,matched,true,auto_confirmed
session_d1b5cc235615b44e,S,2026-07-27,19,57,adb-observer,1,101.172,final-capture-complete,2,complete_with_identity_review,3,,,,,,,,6380099,0.974741,50,6380099,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,178,2,0,9,20,13,8,6,6,4,8,26,1420,71692.0,127601.98,1080961,pending_round_clue_review,matched,true,auto_confirmed
session_fbc9b9f5022aa0d8,S,2026-07-27,19,58,adb-observer,1,182.546,final-capture-complete,5,complete,3,,,,,,,,3287215,0.998994,19,3287215,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,75,0,0,4,6,7,2,1,1,4,1,12,4507,71497,173011.315789,1587435,pending_round_clue_review,matched,true,auto_confirmed
session_f8d37c48ed4adc6a,S,2026-07-27,19,59,adb-observer,1,42.703,final-capture-complete,1,complete,3,,,,,,,,1153190,0.999301,10,1153190,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,34,0,0,1,4,4,1,1,2,2,1,4,1420,119370.5,115319.0,225664,pending_round_clue_review,matched,true,auto_confirmed
session_a0de1d3b2c50fe3b,S,2026-07-27,19,60,adb-observer,1,281.75,final-capture-complete,5,needs_review,3,,,,,,,,6375854,0.985487,52,6861319,485465,false,true,classifier,true,yolo26n_background_catalog_scored,true,169,1,1,11,16,15,10,11,5,6,7,23,2446,94510.0,131948.442308,1083805,pending_final_treasure_review,mismatched,false,pending
session_5c8b755852540180,S,2026-07-27,19,61,adb-observer,1,226.89,final-capture-complete,4,complete_with_identity_review,3,,,,,,,,3856525,0.97123,49,3856525,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,150,1,0,9,20,14,6,13,5,4,5,22,1420,67435,78704.591837,283538,pending_round_clue_review,matched,true,auto_confirmed
session_37d41c7ce65e79b9,S,2026-07-27,19,62,adb-observer,1,148.546,final-capture-complete,3,complete_with_identity_review,3,,,,,,,,3940713,0.987138,34,3940713,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,105,1,0,8,8,15,3,5,6,4,5,14,2360,94510.0,115903.323529,302326,pending_round_clue_review,matched,true,auto_confirmed
session_3c6feb13e1869053,S,2026-07-27,19,63,adb-observer,1,212.422,final-capture-complete,4,complete_with_identity_review,3,,,,,,,,3848036,0.987517,28,3848036,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,116,1,0,8,9,6,5,3,3,1,6,15,2360,57694.5,137429.857143,1486670,pending_round_clue_review,matched,true,auto_confirmed
session_7db59d865570d6cf,S,2026-07-27,19,64,adb-observer,1,175.859,final-capture-complete,4,complete,3,,,,,,,,1862324,0.998458,24,1862324,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,85,0,0,5,9,6,4,2,2,4,2,14,3747,60614.0,77596.833333,247007,pending_round_clue_review,matched,true,auto_confirmed
session_8542f6bc5b91f583,S,2026-07-27,19,65,adb-observer,1,123.344,final-capture-complete,3,complete,3,,,,,,,,755156,0.987007,10,755156,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,32,0,0,3,3,3,1,3,1,1,1,4,4507,71425.0,75515.6,175056,pending_round_clue_review,matched,true,auto_confirmed
session_3844eb726ccaf8ec,S,2026-07-27,19,66,adb-observer,1,114.578,final-capture-complete,1,complete,3,,,,,,,,4563581,0.978065,32,4563581,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,101,0,0,8,11,10,3,8,4,2,3,15,1814,67114.5,142611.90625,1956574,pending_round_clue_review,matched,true,auto_confirmed
session_9c8b9e4d8991be1e,S,2026-07-27,19,67,adb-observer,1,126.703,final-capture-complete,4,complete,3,,,,,,,,2312010,0.998497,13,2312010,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,43,0,0,2,4,5,2,2,1,1,1,8,9053,79737,177846.923077,878245,pending_round_clue_review,matched,true,auto_confirmed
session_3b0899c031184ae4,S,2026-07-27,19,68,adb-observer,1,238.922,final-capture-complete,4,complete,3,,,,,,,,5236030,0.969439,54,5236030,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,174,0,0,14,15,20,5,12,5,7,6,24,2446,83059.0,96963.518519,364855,pending_round_clue_review,matched,true,auto_confirmed
session_99888fe11897da34,S,2026-07-27,19,69,adb-observer,1,116.907,final-capture-complete,1,complete,3,,,,,,,,3973498,0.990581,40,3973498,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,137,0,0,7,11,21,1,7,6,3,4,20,9053,97679.5,99337.45,224110,pending_round_clue_review,matched,true,auto_confirmed
session_0c69dcb60b2ee62b,S,2026-07-27,19,70,adb-observer,1,117.578,final-capture-complete,2,needs_review,3,,,,,,,,4907092,0.995603,60,4716895,-190197,false,true,classifier,true,yolo26n_background_catalog_scored,true,218,1,0,12,18,18,12,6,10,7,10,27,1420,47954.0,78614.916667,281034,pending_final_treasure_review,mismatched,false,pending
session_f4dab93f846d624f,S,2026-07-27,19,71,adb-observer,1,218.688,final-capture-complete,5,complete_with_identity_review,3,,,,,,,,5165723,0.972461,29,5165723,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,88,1,0,2,10,11,6,4,2,6,5,12,3747,106949,178128.37931,1293299,pending_round_clue_review,matched,true,auto_confirmed
session_947333d73700aa4f,S,2026-07-27,19,72,adb-observer,1,220.969,final-capture-complete,5,complete_with_identity_review,3,,,,,,,,3392859,0.983746,33,3392859,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,109,1,0,6,10,11,6,8,6,0,5,14,3797,69744,102813.909091,776546,pending_round_clue_review,matched,true,auto_confirmed
session_b5c5cecaeb7abc1f,S,2026-07-27,19,73,adb-observer,1,117.531,final-capture-complete,3,complete_with_identity_review,3,,,,,,,,3626963,0.98663,23,3626963,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,73,1,0,3,9,6,5,5,3,2,1,12,1814,71497,157694.043478,1080961,pending_round_clue_review,matched,true,auto_confirmed
session_14a5e3e5e813d9c5,S,2026-07-27,19,74,adb-observer,1,55.015,final-capture-complete,1,complete_with_identity_review,3,,,,,,,,2128011,0.998883,13,2128011,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,51,1,0,1,6,4,2,3,0,3,0,7,8454,92730,163693.153846,1080961,pending_round_clue_review,matched,true,auto_confirmed
