session_id,round,scope,option_index,event_code,effect,event_template,group_dimension,group_value,validator,value_scale,selected,capture_sequence
session_5a5e8dd0c08c0bbe,2,public,0,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,True,100
session_5a5e8dd0c08c0bbe,2,personal_option,1,1801,size_average_value,计算本局所有规格为1×1的藏品平均价值,size,1x1,size_1x1_average_value,1,,100
session_5a5e8dd0c08c0bbe,2,personal_option,2,1804,size_average_value,计算本局所有规格为2×1的藏品平均价值,size,2x1,size_2x1_average_value,1,,100
session_5a5e8dd0c08c0bbe,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,100
session_20937f134dd31e05,1,public,0,1705,reveal_position_by_quality,显示所有彩色品质藏品的位置,quality,彩,quality_彩_count,1,True,121
session_20937f134dd31e05,1,personal_option,1,1903,quality_average_area,计算本局所有紫色品质藏品的平均占用格数,quality,紫,quality_紫_average_area,100,,121
session_20937f134dd31e05,1,personal_option,2,603,quality_total_value,计算本局紫色品质藏品总价值,quality,紫,quality_紫_total_value,1,,121
session_20937f134dd31e05,1,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,121
session_20937f134dd31e05,2,public,0,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,True,137
session_20937f134dd31e05,2,personal_option,1,1805,size_average_value,计算本局所有规格为2×2的藏品平均价值,size,2x2,size_2x2_average_value,1,,137
session_20937f134dd31e05,2,personal_option,2,1808,size_average_value,计算本局所有规格为3×2的藏品平均价值,size,3x2,size_3x2_average_value,1,,137
session_20937f134dd31e05,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,137
session_20937f134dd31e05,3,public,0,1101,highest_quality,显示本局藏品的最高品质,global,highest_quality,highest_quality,1,True,153
session_20937f134dd31e05,3,personal_option,1,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,153
session_20937f134dd31e05,3,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,153
session_20937f134dd31e05,3,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,153
session_20937f134dd31e05,4,public,0,101,reveal_outline_by_size,显示所有规格为1×1的藏品轮廓,size,1x1,size_1x1_count,1,True,168
session_20937f134dd31e05,4,personal_option,1,1905,quality_average_area,计算本局所有彩色品质藏品的平均占用格数,quality,彩,quality_彩_average_area,100,,168
session_20937f134dd31e05,4,personal_option,2,303,quality_item_count,显示本局紫色品质藏品数量,quality,紫,quality_紫_count,1,,168
session_20937f134dd31e05,4,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,168
session_750a3b2bf72075a1,1,public,0,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,True,189
session_750a3b2bf72075a1,1,personal_option,1,302,quality_item_count,显示本局蓝色品质藏品数量,quality,蓝,quality_蓝_count,1,,189
session_750a3b2bf72075a1,1,personal_option,2,1902,quality_average_area,计算本局所有蓝色品质藏品的平均占用格数,quality,蓝,quality_蓝_average_area,100,,189
session_750a3b2bf72075a1,1,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,189
session_f337621ae2133cae,1,public,0,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,True,213
session_f337621ae2133cae,1,personal_option,1,1903,quality_average_area,计算本局所有紫色品质藏品的平均占用格数,quality,紫,quality_紫_average_area,100,,213
session_f337621ae2133cae,1,personal_option,2,603,quality_total_value,计算本局紫色品质藏品总价值,quality,紫,quality_紫_total_value,1,,213
session_f337621ae2133cae,1,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,213
session_c4390e35f9fc0af3,1,public,0,1704,reveal_position_by_quality,显示所有金色品质藏品的位置,quality,金,quality_金_count,1,True,235
session_c4390e35f9fc0af3,1,personal_option,1,301,quality_item_count,显示本局白色品质藏品数量,quality,白,quality_白_count,1,,235
session_c4390e35f9fc0af3,1,personal_option,2,1904,quality_average_area,计算本局所有金色品质藏品的平均占用格数,quality,金,quality_金_average_area,100,,235
session_c4390e35f9fc0af3,1,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,235
session_c4390e35f9fc0af3,2,public,0,107,reveal_outline_by_size,显示所有规格为3×1的藏品轮廓,size,3x1,size_3x1_count,1,True,250
session_c4390e35f9fc0af3,2,personal_option,1,1805,size_average_value,计算本局所有规格为2×2的藏品平均价值,size,2x2,size_2x2_average_value,1,,250
session_c4390e35f9fc0af3,2,personal_option,2,1806,size_average_value,计算本局所有规格为2×3的藏品平均价值,size,2x3,size_2x3_average_value,1,,250
session_c4390e35f9fc0af3,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,250
session_c4390e35f9fc0af3,3,public,0,701,reveal_largest_area_item_outline,显示本局占格数最多的藏品轮廓,global,largest_area_item,fixed_item_count,1,True,265
session_c4390e35f9fc0af3,3,personal_option,1,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,265
session_c4390e35f9fc0af3,3,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,265
session_c4390e35f9fc0af3,3,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,265
session_888908fe680651a2,1,public,0,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,True,286
session_888908fe680651a2,1,personal_option,1,301,quality_item_count,显示本局白色品质藏品数量,quality,白,quality_白_count,1,,286
session_888908fe680651a2,1,personal_option,2,602,quality_total_value,计算本局蓝色品质藏品总价值,quality,蓝,quality_蓝_total_value,1,,286
session_888908fe680651a2,1,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,286
session_888908fe680651a2,2,public,0,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,True,301
session_888908fe680651a2,2,personal_option,1,1801,size_average_value,计算本局所有规格为1×1的藏品平均价值,size,1x1,size_1x1_average_value,1,,301
session_888908fe680651a2,2,personal_option,2,1804,size_average_value,计算本局所有规格为2×1的藏品平均价值,size,2x1,size_2x1_average_value,1,,301
session_888908fe680651a2,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,301
session_888908fe680651a2,3,public,0,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,True,316
session_888908fe680651a2,3,personal_option,1,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,316
session_888908fe680651a2,3,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,316
session_888908fe680651a2,3,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,316
session_888908fe680651a2,4,public,0,108,reveal_outline_by_size,显示所有规格为3×2的藏品轮廓,size,3x2,size_3x2_count,1,True,332
session_888908fe680651a2,4,personal_option,1,603,quality_total_value,计算本局紫色品质藏品总价值,quality,紫,quality_紫_total_value,1,,332
session_888908fe680651a2,4,personal_option,2,303,quality_item_count,显示本局紫色品质藏品数量,quality,紫,quality_紫_count,1,,332
session_888908fe680651a2,4,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,332
session_888908fe680651a2,5,public,0,1705,reveal_position_by_quality,显示所有彩色品质藏品的位置,quality,彩,quality_彩_count,1,True,345
session_888908fe680651a2,5,personal_option,1,1701,reveal_position_by_quality,显示所有白色品质藏品的位置,quality,白,quality_白_count,1,,345
session_888908fe680651a2,5,personal_option,2,1702,reveal_position_by_quality,显示所有蓝色品质藏品的位置,quality,蓝,quality_蓝_count,1,,345
session_888908fe680651a2,5,personal_option,3,1703,reveal_position_by_quality,显示所有紫色品质藏品的位置,quality,紫,quality_紫_count,1,,345
session_b6b5b86e27e78918,1,public,0,1201,total_occupied_cells,计算本局所有藏品的总占格数,global,total_occupied_cells,total_occupied_cells,1,True,364
session_b6b5b86e27e78918,1,personal_option,1,302,quality_item_count,显示本局蓝色品质藏品数量,quality,蓝,quality_蓝_count,1,,364
session_b6b5b86e27e78918,1,personal_option,2,1902,quality_average_area,计算本局所有蓝色品质藏品的平均占用格数,quality,蓝,quality_蓝_average_area,100,,364
session_b6b5b86e27e78918,1,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,364
session_b6b5b86e27e78918,2,public,0,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,True,380
session_b6b5b86e27e78918,2,personal_option,1,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,380
session_b6b5b86e27e78918,2,personal_option,2,1804,size_average_value,计算本局所有规格为2×1的藏品平均价值,size,2x1,size_2x1_average_value,1,,380
session_b6b5b86e27e78918,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,380
session_3386f4d146d120ec,1,public,0,1201,total_occupied_cells,计算本局所有藏品的总占格数,global,total_occupied_cells,total_occupied_cells,1,True,399
session_3386f4d146d120ec,1,personal_option,1,303,quality_item_count,显示本局紫色品质藏品数量,quality,紫,quality_紫_count,1,,399
session_3386f4d146d120ec,1,personal_option,2,602,quality_total_value,计算本局蓝色品质藏品总价值,quality,蓝,quality_蓝_total_value,1,,399
session_3386f4d146d120ec,1,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,399
session_3386f4d146d120ec,2,public,0,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,True,414
session_3386f4d146d120ec,2,personal_option,1,1803,size_average_value,计算本局所有规格为1×3的藏品平均价值,size,1x3,size_1x3_average_value,1,,414
session_3386f4d146d120ec,2,personal_option,2,1806,size_average_value,计算本局所有规格为2×3的藏品平均价值,size,2x3,size_2x3_average_value,1,,414
session_3386f4d146d120ec,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,414
session_3386f4d146d120ec,3,public,0,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,True,429
session_3386f4d146d120ec,3,personal_option,1,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,429
session_3386f4d146d120ec,3,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,429
session_3386f4d146d120ec,3,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,429
session_3386f4d146d120ec,4,public,0,104,reveal_outline_by_size,显示所有规格为2×1的藏品轮廓,size,2x1,size_2x1_count,1,True,445
session_3386f4d146d120ec,4,personal_option,1,1901,quality_average_area,计算本局所有白色品质藏品的平均占用格数,quality,白,quality_白_average_area,100,,445
session_3386f4d146d120ec,4,personal_option,2,302,quality_item_count,显示本局蓝色品质藏品数量,quality,蓝,quality_蓝_count,1,,445
session_3386f4d146d120ec,4,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,445
session_400cbd28018fd33b,1,public,0,402,reveal_position_quality_random,随机显示5件藏品的位置与品质,random,5,fixed_item_count,1,True,4
session_400cbd28018fd33b,1,personal_option,1,1903,quality_average_area,计算本局所有紫色品质藏品的平均占用格数,quality,紫,quality_紫_average_area,100,,4
session_400cbd28018fd33b,1,personal_option,2,603,quality_total_value,计算本局紫色品质藏品总价值,quality,紫,quality_紫_total_value,1,,4
session_400cbd28018fd33b,1,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,4
session_4eb22a98dbd03723,1,public,0,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,True,27
session_4eb22a98dbd03723,1,personal_option,1,301,quality_item_count,显示本局白色品质藏品数量,quality,白,quality_白_count,1,,27
session_4eb22a98dbd03723,1,personal_option,2,1902,quality_average_area,计算本局所有蓝色品质藏品的平均占用格数,quality,蓝,quality_蓝_average_area,100,,27
session_4eb22a98dbd03723,1,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,27
session_4eb22a98dbd03723,2,public,0,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,True,42
session_4eb22a98dbd03723,2,personal_option,1,1805,size_average_value,计算本局所有规格为2×2的藏品平均价值,size,2x2,size_2x2_average_value,1,,42
session_4eb22a98dbd03723,2,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,42
session_4eb22a98dbd03723,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,42
session_973f2a8db00636ab,1,public,0,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,True,63
session_973f2a8db00636ab,1,personal_option,1,1903,quality_average_area,计算本局所有紫色品质藏品的平均占用格数,quality,紫,quality_紫_average_area,100,,63
session_973f2a8db00636ab,1,personal_option,2,1904,quality_average_area,计算本局所有金色品质藏品的平均占用格数,quality,金,quality_金_average_area,100,,63
session_973f2a8db00636ab,1,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,63
session_973f2a8db00636ab,2,public,0,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,True,78
session_973f2a8db00636ab,2,personal_option,1,1803,size_average_value,计算本局所有规格为1×3的藏品平均价值,size,1x3,size_1x3_average_value,1,,78
session_973f2a8db00636ab,2,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,78
session_973f2a8db00636ab,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,78
session_973f2a8db00636ab,3,public,0,402,reveal_position_quality_random,随机显示5件藏品的位置与品质,random,5,fixed_item_count,1,True,93
session_973f2a8db00636ab,3,personal_option,1,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,93
session_973f2a8db00636ab,3,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,93
session_973f2a8db00636ab,3,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,93
session_90e3951181c0d550,1,public,0,901,max_item_value,显示本局单件价值最高的藏品价值,global,max_item_value,max_item_value,1,True,114
session_90e3951181c0d550,1,personal_option,1,301,quality_item_count,显示本局白色品质藏品数量,quality,白,quality_白_count,1,,114
session_90e3951181c0d550,1,personal_option,2,602,quality_total_value,计算本局蓝色品质藏品总价值,quality,蓝,quality_蓝_total_value,1,,114
session_90e3951181c0d550,1,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,114
session_90e3951181c0d550,2,public,0,104,reveal_outline_by_size,显示所有规格为2×1的藏品轮廓,size,2x1,size_2x1_count,1,True,129
session_90e3951181c0d550,2,personal_option,1,1807,size_average_value,计算本局所有规格为3×1的藏品平均价值,size,3x1,size_3x1_average_value,1,,129
session_90e3951181c0d550,2,personal_option,2,1806,size_average_value,计算本局所有规格为2×3的藏品平均价值,size,2x3,size_2x3_average_value,1,,129
session_90e3951181c0d550,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,129
session_90e3951181c0d550,3,public,0,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,True,144
session_90e3951181c0d550,3,personal_option,1,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,144
session_90e3951181c0d550,3,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,144
session_90e3951181c0d550,3,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,144
session_90e3951181c0d550,4,public,0,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,True,159
session_90e3951181c0d550,4,personal_option,1,1905,quality_average_area,计算本局所有彩色品质藏品的平均占用格数,quality,彩,quality_彩_average_area,100,,159
session_90e3951181c0d550,4,personal_option,2,302,quality_item_count,显示本局蓝色品质藏品数量,quality,蓝,quality_蓝_count,1,,159
session_90e3951181c0d550,4,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,159
session_ec3d591b0061629e,1,public,0,1101,highest_quality,显示本局藏品的最高品质,global,highest_quality,highest_quality,1,True,180
session_ec3d591b0061629e,1,personal_option,1,302,quality_item_count,显示本局蓝色品质藏品数量,quality,蓝,quality_蓝_count,1,,180
session_ec3d591b0061629e,1,personal_option,2,603,quality_total_value,计算本局紫色品质藏品总价值,quality,紫,quality_紫_total_value,1,,180
session_ec3d591b0061629e,1,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,180
session_ec3d591b0061629e,2,public,0,103,reveal_outline_by_size,显示所有规格为1×3的藏品轮廓,size,1x3,size_1x3_count,1,True,195
session_ec3d591b0061629e,2,personal_option,1,1807,size_average_value,计算本局所有规格为3×1的藏品平均价值,size,3x1,size_3x1_average_value,1,,195
session_ec3d591b0061629e,2,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,195
session_ec3d591b0061629e,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,195
session_ec3d591b0061629e,3,public,0,901,max_item_value,显示本局单件价值最高的藏品价值,global,max_item_value,max_item_value,1,True,210
session_ec3d591b0061629e,3,personal_option,1,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,210
session_ec3d591b0061629e,3,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,210
session_ec3d591b0061629e,3,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,210
session_ec3d591b0061629e,4,public,0,106,reveal_outline_by_size,显示所有规格为2×3的藏品轮廓,size,2x3,size_2x3_count,1,True,225
session_ec3d591b0061629e,4,personal_option,1,1905,quality_average_area,计算本局所有彩色品质藏品的平均占用格数,quality,彩,quality_彩_average_area,100,,225
session_ec3d591b0061629e,4,personal_option,2,302,quality_item_count,显示本局蓝色品质藏品数量,quality,蓝,quality_蓝_count,1,,225
session_ec3d591b0061629e,4,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,225
session_ec3d591b0061629e,5,public,0,402,reveal_position_quality_random,随机显示5件藏品的位置与品质,random,5,fixed_item_count,1,True,241
session_ec3d591b0061629e,5,personal_option,1,1701,reveal_position_by_quality,显示所有白色品质藏品的位置,quality,白,quality_白_count,1,,241
session_ec3d591b0061629e,5,personal_option,2,1702,reveal_position_by_quality,显示所有蓝色品质藏品的位置,quality,蓝,quality_蓝_count,1,,241
session_ec3d591b0061629e,5,personal_option,3,1703,reveal_position_by_quality,显示所有紫色品质藏品的位置,quality,紫,quality_紫_count,1,,241
session_b81d917edbcc4f95,1,public,0,1201,total_occupied_cells,计算本局所有藏品的总占格数,global,total_occupied_cells,total_occupied_cells,1,True,262
session_b81d917edbcc4f95,1,personal_option,1,303,quality_item_count,显示本局紫色品质藏品数量,quality,紫,quality_紫_count,1,,262
session_b81d917edbcc4f95,1,personal_option,2,601,quality_total_value,计算本局白色品质藏品总价值,quality,白,quality_白_total_value,1,,262
session_b81d917edbcc4f95,1,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,262
session_b81d917edbcc4f95,2,public,0,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,True,277
session_b81d917edbcc4f95,2,personal_option,1,1803,size_average_value,计算本局所有规格为1×3的藏品平均价值,size,1x3,size_1x3_average_value,1,,277
session_b81d917edbcc4f95,2,personal_option,2,1802,size_average_value,计算本局所有规格为1×2的藏品平均价值,size,1x2,size_1x2_average_value,1,,277
session_b81d917edbcc4f95,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,277
session_09d74c5e1b0347a6,1,public,0,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,True,298
session_09d74c5e1b0347a6,1,personal_option,1,1903,quality_average_area,计算本局所有紫色品质藏品的平均占用格数,quality,紫,quality_紫_average_area,100,,298
session_09d74c5e1b0347a6,1,personal_option,2,1904,quality_average_area,计算本局所有金色品质藏品的平均占用格数,quality,金,quality_金_average_area,100,,298
session_09d74c5e1b0347a6,1,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,298
session_bb5e0fb91a13795b,1,public,0,402,reveal_position_quality_random,随机显示5件藏品的位置与品质,random,5,fixed_item_count,1,True,319
session_bb5e0fb91a13795b,1,personal_option,1,303,quality_item_count,显示本局紫色品质藏品数量,quality,紫,quality_紫_count,1,,319
session_bb5e0fb91a13795b,1,personal_option,2,602,quality_total_value,计算本局蓝色品质藏品总价值,quality,蓝,quality_蓝_total_value,1,,319
session_bb5e0fb91a13795b,1,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,319
session_bb5e0fb91a13795b,2,public,0,104,reveal_outline_by_size,显示所有规格为2×1的藏品轮廓,size,2x1,size_2x1_count,1,True,334
session_bb5e0fb91a13795b,2,personal_option,1,1805,size_average_value,计算本局所有规格为2×2的藏品平均价值,size,2x2,size_2x2_average_value,1,,334
session_bb5e0fb91a13795b,2,personal_option,2,1804,size_average_value,计算本局所有规格为2×1的藏品平均价值,size,2x1,size_2x1_average_value,1,,334
session_bb5e0fb91a13795b,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,334
session_bb5e0fb91a13795b,3,public,0,1704,reveal_position_by_quality,显示所有金色品质藏品的位置,quality,金,quality_金_count,1,True,349
session_bb5e0fb91a13795b,3,personal_option,1,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,349
session_bb5e0fb91a13795b,3,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,349
session_bb5e0fb91a13795b,3,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,349
session_bb5e0fb91a13795b,4,public,0,103,reveal_outline_by_size,显示所有规格为1×3的藏品轮廓,size,1x3,size_1x3_count,1,True,364
session_bb5e0fb91a13795b,4,personal_option,1,1901,quality_average_area,计算本局所有白色品质藏品的平均占用格数,quality,白,quality_白_average_area,100,,364
session_bb5e0fb91a13795b,4,personal_option,2,303,quality_item_count,显示本局紫色品质藏品数量,quality,紫,quality_紫_count,1,,364
session_bb5e0fb91a13795b,4,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,364
session_699dde2d4b69e209,1,public,0,901,max_item_value,显示本局单件价值最高的藏品价值,global,max_item_value,max_item_value,1,True,385
session_699dde2d4b69e209,1,personal_option,1,303,quality_item_count,显示本局紫色品质藏品数量,quality,紫,quality_紫_count,1,,385
session_699dde2d4b69e209,1,personal_option,2,601,quality_total_value,计算本局白色品质藏品总价值,quality,白,quality_白_total_value,1,,385
session_699dde2d4b69e209,1,personal_option,3,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,385
session_699dde2d4b69e209,2,public,0,101,reveal_outline_by_size,显示所有规格为1×1的藏品轮廓,size,1x1,size_1x1_count,1,True,402
session_699dde2d4b69e209,2,personal_option,1,1807,size_average_value,计算本局所有规格为3×1的藏品平均价值,size,3x1,size_3x1_average_value,1,,402
session_699dde2d4b69e209,2,personal_option,2,1802,size_average_value,计算本局所有规格为1×2的藏品平均价值,size,1x2,size_1x2_average_value,1,,402
