session_id,round,scope,event_code,effect,event_template,group_dimension,group_value,validator,value_scale,observed_value,reported_item_count,reported_cell_count,quality_codes,catalog_item_count,validation_expected,validation_matches,capture_sequence
session_5a5e8dd0c08c0bbe,2,public,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,0,4,16,[],0,4,True,100
session_5a5e8dd0c08c0bbe,2,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,3,[4],1,1,True,105
session_20937f134dd31e05,1,public,1705,reveal_position_by_quality,显示所有彩色品质藏品的位置,quality,彩,quality_彩_count,1,0,1,1,[],0,1,True,121
session_20937f134dd31e05,1,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,6,[4],1,1,True,125
session_20937f134dd31e05,2,public,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,0,2,4,[],0,2,True,137
session_20937f134dd31e05,2,personal,1805,size_average_value,计算本局所有规格为2×2的藏品平均价值,size,2x2,size_2x2_average_value,1,42261,0,0,[],0,42261.0,True,140
session_20937f134dd31e05,3,public,1101,highest_quality,显示本局藏品的最高品质,global,highest_quality,highest_quality,1,5,0,0,[],0,5,True,153
session_20937f134dd31e05,3,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,"[3, 4]",0,2,True,157
session_20937f134dd31e05,4,public,101,reveal_outline_by_size,显示所有规格为1×1的藏品轮廓,size,1x1,size_1x1_count,1,0,2,2,[],0,2,True,168
session_20937f134dd31e05,4,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,"[3, 4]",0,2,True,171
session_750a3b2bf72075a1,1,public,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,0,3,12,"[3, 4]",3,3,True,189
session_750a3b2bf72075a1,1,personal,302,quality_item_count,显示本局蓝色品质藏品数量,quality,蓝,quality_蓝_count,1,2,0,0,[],0,2,True,196
session_f337621ae2133cae,1,public,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,8,0,0,[],0,8,True,213
session_f337621ae2133cae,1,personal,603,quality_total_value,计算本局紫色品质藏品总价值,quality,紫,quality_紫_total_value,1,884976,0,0,[],0,884976,True,222
session_c4390e35f9fc0af3,1,public,1704,reveal_position_by_quality,显示所有金色品质藏品的位置,quality,金,quality_金_count,1,0,14,14,[],0,14,True,235
session_c4390e35f9fc0af3,1,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,[4],0,2,True,242
session_c4390e35f9fc0af3,2,public,107,reveal_outline_by_size,显示所有规格为3×1的藏品轮廓,size,3x1,size_3x1_count,1,0,2,6,[],0,2,True,250
session_c4390e35f9fc0af3,2,personal,1805,size_average_value,计算本局所有规格为2×2的藏品平均价值,size,2x2,size_2x2_average_value,1,221825,0,0,[],0,221825.0,True,254
session_c4390e35f9fc0af3,3,public,701,reveal_largest_area_item_outline,显示本局占格数最多的藏品轮廓,global,largest_area_item,fixed_item_count,1,0,1,6,[],0,1,True,265
session_c4390e35f9fc0af3,3,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,[4],0,2,True,269
session_888908fe680651a2,1,public,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,0,3,14,"[1, 3, 5]",3,3,True,286
session_888908fe680651a2,1,personal,301,quality_item_count,显示本局白色品质藏品数量,quality,白,quality_白_count,1,2,0,0,[],0,2,True,291
session_888908fe680651a2,2,public,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,0,3,6,[],0,3,True,301
session_888908fe680651a2,2,personal,1804,size_average_value,计算本局所有规格为2×1的藏品平均价值,size,2x1,size_2x1_average_value,1,96503,0,0,[],0,96503.0,True,304
session_888908fe680651a2,3,public,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,7,0,0,[],0,7,True,316
session_888908fe680651a2,3,personal,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,0,4,4,[],0,4,True,320
session_888908fe680651a2,4,public,108,reveal_outline_by_size,显示所有规格为3×2的藏品轮廓,size,3x2,size_3x2_count,1,0,4,24,[],0,4,True,332
session_888908fe680651a2,4,personal,603,quality_total_value,计算本局紫色品质藏品总价值,quality,紫,quality_紫_total_value,1,582316,0,0,[],0,582316,True,338
session_888908fe680651a2,5,public,1705,reveal_position_by_quality,显示所有彩色品质藏品的位置,quality,彩,quality_彩_count,1,0,2,2,[],0,2,True,345
session_888908fe680651a2,5,personal,1702,reveal_position_by_quality,显示所有蓝色品质藏品的位置,quality,蓝,quality_蓝_count,1,0,8,8,[],0,8,True,349
session_b6b5b86e27e78918,1,public,1201,total_occupied_cells,计算本局所有藏品的总占格数,global,total_occupied_cells,total_occupied_cells,1,34,0,0,[],0,34,True,364
session_b6b5b86e27e78918,1,personal,1902,quality_average_area,计算本局所有蓝色品质藏品的平均占用格数,quality,蓝,quality_蓝_average_area,100,600,0,0,[],0,600.0,True,373
session_b6b5b86e27e78918,2,public,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,0,2,4,[],0,2,True,380
session_b6b5b86e27e78918,2,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,6,[2],1,1,True,384
session_3386f4d146d120ec,1,public,1201,total_occupied_cells,计算本局所有藏品的总占格数,global,total_occupied_cells,total_occupied_cells,1,164,0,0,[],0,164,True,399
session_3386f4d146d120ec,1,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,"[2, 4]",0,2,True,406
session_3386f4d146d120ec,2,public,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,0,7,28,[],0,7,True,414
session_3386f4d146d120ec,2,personal,1803,size_average_value,计算本局所有规格为1×3的藏品平均价值,size,1x3,size_1x3_average_value,1,114894,0,0,[],0,114894.714286,False,419
session_3386f4d146d120ec,3,public,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,21,0,0,[],0,21,True,429
session_3386f4d146d120ec,3,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,"[2, 4]",0,2,True,434
session_3386f4d146d120ec,4,public,104,reveal_outline_by_size,显示所有规格为2×1的藏品轮廓,size,2x1,size_2x1_count,1,0,9,18,[],0,9,True,445
session_3386f4d146d120ec,4,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,3,[3],1,1,True,449
session_400cbd28018fd33b,1,public,402,reveal_position_quality_random,随机显示5件藏品的位置与品质,random,5,fixed_item_count,1,0,5,5,"[2, 3, 4]",0,5,True,4
session_400cbd28018fd33b,1,personal,1903,quality_average_area,计算本局所有紫色品质藏品的平均占用格数,quality,紫,quality_紫_average_area,100,312,0,0,[],0,314.285714,False,15
session_4eb22a98dbd03723,1,public,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,0,3,7,"[2, 3, 4]",3,3,True,27
session_4eb22a98dbd03723,1,personal,1902,quality_average_area,计算本局所有蓝色品质藏品的平均占用格数,quality,蓝,quality_蓝_average_area,100,250,0,0,[],0,250.0,True,34
session_4eb22a98dbd03723,2,public,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,0,2,8,[],0,2,True,42
session_4eb22a98dbd03723,2,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,3,[3],1,1,True,46
session_973f2a8db00636ab,1,public,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,0,3,9,"[1, 2]",3,3,True,63
session_973f2a8db00636ab,1,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,"[2, 4]",0,2,True,70
session_973f2a8db00636ab,2,public,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,0,5,20,[],0,5,True,78
session_973f2a8db00636ab,2,personal,1803,size_average_value,计算本局所有规格为1×3的藏品平均价值,size,1x3,size_1x3_average_value,1,139011,0,0,[],0,139011.75,False,83
session_973f2a8db00636ab,3,public,402,reveal_position_quality_random,随机显示5件藏品的位置与品质,random,5,fixed_item_count,1,0,5,5,"[1, 3, 4]",0,5,True,93
session_973f2a8db00636ab,3,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,"[2, 4]",0,2,True,97
session_90e3951181c0d550,1,public,901,max_item_value,显示本局单件价值最高的藏品价值,global,max_item_value,max_item_value,1,1561430,0,0,[],0,1561430,True,114
session_90e3951181c0d550,1,personal,301,quality_item_count,显示本局白色品质藏品数量,quality,白,quality_白_count,1,1,0,0,[],0,1,True,118
session_90e3951181c0d550,2,public,104,reveal_outline_by_size,显示所有规格为2×1的藏品轮廓,size,2x1,size_2x1_count,1,0,1,2,[],0,1,True,129
session_90e3951181c0d550,2,personal,1806,size_average_value,计算本局所有规格为2×3的藏品平均价值,size,2x3,size_2x3_average_value,1,85860,0,0,[],0,85860.333333,True,134
session_90e3951181c0d550,3,public,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,5,0,0,[],0,5,True,144
session_90e3951181c0d550,3,personal,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,0,4,4,[],0,4,True,151
session_90e3951181c0d550,4,public,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,0,2,8,[],0,2,True,159
session_90e3951181c0d550,4,personal,1905,quality_average_area,计算本局所有彩色品质藏品的平均占用格数,quality,彩,quality_彩_average_area,100,200,0,0,[],0,200.0,True,163
session_ec3d591b0061629e,1,public,1101,highest_quality,显示本局藏品的最高品质,global,highest_quality,highest_quality,1,5,0,0,[],0,5,True,180
session_ec3d591b0061629e,1,personal,603,quality_total_value,计算本局紫色品质藏品总价值,quality,紫,quality_紫_total_value,1,766190,0,0,[],0,766190,True,187
session_ec3d591b0061629e,2,public,103,reveal_outline_by_size,显示所有规格为1×3的藏品轮廓,size,1x3,size_1x3_count,1,0,1,3,[],0,1,True,195
session_ec3d591b0061629e,2,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,6,[4],1,1,True,199
session_ec3d591b0061629e,3,public,901,max_item_value,显示本局单件价值最高的藏品价值,global,max_item_value,max_item_value,1,1680426,0,0,[],0,1680426,True,210
session_ec3d591b0061629e,3,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,2,[3],1,1,True,215
session_ec3d591b0061629e,4,public,106,reveal_outline_by_size,显示所有规格为2×3的藏品轮廓,size,2x3,size_2x3_count,1,0,4,24,[],0,4,True,225
session_ec3d591b0061629e,4,personal,302,quality_item_count,显示本局蓝色品质藏品数量,quality,蓝,quality_蓝_count,1,5,0,0,[],0,5,True,228
session_ec3d591b0061629e,5,public,402,reveal_position_quality_random,随机显示5件藏品的位置与品质,random,5,fixed_item_count,1,0,5,5,"[1, 2, 3, 4]",0,5,True,241
session_ec3d591b0061629e,5,personal,1703,reveal_position_by_quality,显示所有紫色品质藏品的位置,quality,紫,quality_紫_count,1,0,10,10,[],0,10,True,245
session_b81d917edbcc4f95,1,public,1201,total_occupied_cells,计算本局所有藏品的总占格数,global,total_occupied_cells,total_occupied_cells,1,44,0,0,[],0,44,True,262
session_b81d917edbcc4f95,1,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,4,[4],1,1,True,269
session_b81d917edbcc4f95,2,public,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,0,2,4,[],0,2,True,277
session_b81d917edbcc4f95,2,personal,1803,size_average_value,计算本局所有规格为1×3的藏品平均价值,size,1x3,size_1x3_average_value,1,88696,0,0,[],0,88696.4,True,281
session_09d74c5e1b0347a6,1,public,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,0,3,12,"[1, 2, 3]",3,3,True,298
session_09d74c5e1b0347a6,1,personal,1903,quality_average_area,计算本局所有紫色品质藏品的平均占用格数,quality,紫,quality_紫_average_area,100,321,0,0,[],0,321.052632,True,303
session_bb5e0fb91a13795b,1,public,402,reveal_position_quality_random,随机显示5件藏品的位置与品质,random,5,fixed_item_count,1,0,5,5,"[3, 4]",0,5,True,319
session_bb5e0fb91a13795b,1,personal,602,quality_total_value,计算本局蓝色品质藏品总价值,quality,蓝,quality_蓝_total_value,1,114310,0,0,[],0,114310,True,326
session_bb5e0fb91a13795b,2,public,104,reveal_outline_by_size,显示所有规格为2×1的藏品轮廓,size,2x1,size_2x1_count,1,0,6,12,[],0,6,True,334
session_bb5e0fb91a13795b,2,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,3,[3],1,1,True,338
session_bb5e0fb91a13795b,3,public,1704,reveal_position_by_quality,显示所有金色品质藏品的位置,quality,金,quality_金_count,1,0,14,14,[],0,14,True,349
session_bb5e0fb91a13795b,3,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,2,[2],1,1,True,353
session_bb5e0fb91a13795b,4,public,103,reveal_outline_by_size,显示所有规格为1×3的藏品轮廓,size,1x3,size_1x3_count,1,0,6,18,[],0,6,True,364
session_bb5e0fb91a13795b,4,personal,303,quality_item_count,显示本局紫色品质藏品数量,quality,紫,quality_紫_count,1,10,0,0,[],0,10,True,369
session_699dde2d4b69e209,1,public,901,max_item_value,显示本局单件价值最高的藏品价值,global,max_item_value,max_item_value,1,713390,0,0,[],0,713390,True,385
session_699dde2d4b69e209,1,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,[3],0,2,True,391
session_699dde2d4b69e209,2,public,101,reveal_outline_by_size,显示所有规格为1×1的藏品轮廓,size,1x1,size_1x1_count,1,0,8,8,[],0,8,True,402
session_699dde2d4b69e209,2,personal,1807,size_average_value,计算本局所有规格为3×1的藏品平均价值,size,3x1,size_3x1_average_value,1,198487,0,0,[],0,198487.0,True,406
session_699dde2d4b69e209,3,public,1201,total_occupied_cells,计算本局所有藏品的总占格数,global,total_occupied_cells,total_occupied_cells,1,146,0,0,[],0,146,True,417
session_699dde2d4b69e209,3,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,[2],0,2,True,421
session_0024dd3b52d5838c,1,public,1101,highest_quality,显示本局藏品的最高品质,global,highest_quality,highest_quality,1,4,0,0,[],0,4,True,437
session_0024dd3b52d5838c,1,personal,1901,quality_average_area,计算本局所有白色品质藏品的平均占用格数,quality,白,quality_白_average_area,100,100,0,0,[],0,100.0,True,445
session_9e161d592fd74a1b,1,public,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,0,3,12,"[3, 4]",3,3,True,459
session_9e161d592fd74a1b,1,personal,601,quality_total_value,计算本局白色品质藏品总价值,quality,白,quality_白_total_value,1,12434,0,0,[],0,12434,True,463
session_9e161d592fd74a1b,2,public,103,reveal_outline_by_size,显示所有规格为1×3的藏品轮廓,size,1x3,size_1x3_count,1,0,2,6,[],0,2,True,474
session_9e161d592fd74a1b,2,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,6,[3],1,1,True,477
session_8ad14ff1c7c9d9d6,1,public,1001,max_value_per_cell,显示本局单个单位格最高价值,global,max_value_per_cell,max_value_per_cell,1,817840,0,0,[],0,817840.5,True,495
session_8ad14ff1c7c9d9d6,1,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,1,[4],1,1,True,502
session_8ad14ff1c7c9d9d6,2,public,108,reveal_outline_by_size,显示所有规格为3×2的藏品轮廓,size,3x2,size_3x2_count,1,0,6,36,[],0,6,True,510
session_8ad14ff1c7c9d9d6,2,personal,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,0,4,4,[],0,4,True,513
session_8ad14ff1c7c9d9d6,3,public,901,max_item_value,显示本局单件价值最高的藏品价值,global,max_item_value,max_item_value,1,1635681,0,0,[],0,1635681,True,525
session_8ad14ff1c7c9d9d6,3,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,"[1, 4]",0,2,True,528
session_8ad14ff1c7c9d9d6,4,public,103,reveal_outline_by_size,显示所有规格为1×3的藏品轮廓,size,1x3,size_1x3_count,1,0,3,9,[],0,3,True,540
session_8ad14ff1c7c9d9d6,4,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,3,[2],1,1,True,547
session_8ad14ff1c7c9d9d6,5,public,1705,reveal_position_by_quality,显示所有彩色品质藏品的位置,quality,彩,quality_彩_count,1,0,1,1,[],0,1,True,555
session_8ad14ff1c7c9d9d6,5,personal,1701,reveal_position_by_quality,显示所有白色品质藏品的位置,quality,白,quality_白_count,1,0,8,8,[],0,8,True,558
session_eb6c10d1d43a5b51,1,public,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,17,0,0,[],0,17,True,576
session_eb6c10d1d43a5b51,1,personal,302,quality_item_count,显示本局蓝色品质藏品数量,quality,蓝,quality_蓝_count,1,6,0,0,[],0,6,True,581
session_eb6c10d1d43a5b51,2,public,103,reveal_outline_by_size,显示所有规格为1×3的藏品轮廓,size,1x3,size_1x3_count,1,0,4,12,[],0,4,True,591
session_eb6c10d1d43a5b51,2,personal,1802,size_average_value,计算本局所有规格为1×2的藏品平均价值,size,1x2,size_1x2_average_value,1,85093,0,0,[],0,85093.0,True,596
session_eb6c10d1d43a5b51,3,public,701,reveal_largest_area_item_outline,显示本局占格数最多的藏品轮廓,global,largest_area_item,fixed_item_count,1,0,1,9,[],0,1,True,606
session_eb6c10d1d43a5b51,3,personal,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,0,4,4,[],0,4,True,611
session_eb6c10d1d43a5b51,4,public,105,reveal_outline_by_size,显示所有规格为2×2的藏品轮廓,size,2x2,size_2x2_count,1,0,6,24,[],0,6,True,621
session_eb6c10d1d43a5b51,4,personal,1901,quality_average_area,计算本局所有白色品质藏品的平均占用格数,quality,白,quality_白_average_area,100,200,0,0,[],0,200.0,True,625
session_eb6c10d1d43a5b51,5,public,901,max_item_value,显示本局单件价值最高的藏品价值,global,max_item_value,max_item_value,1,1587435,0,0,[],0,1587435,True,636
session_eb6c10d1d43a5b51,5,personal,1702,reveal_position_by_quality,显示所有蓝色品质藏品的位置,quality,蓝,quality_蓝_count,1,0,6,6,[],0,6,True,639
session_c62c7501e196c2c2,1,public,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,17,0,0,[],0,17,True,657
session_c62c7501e196c2c2,1,personal,601,quality_total_value,计算本局白色品质藏品总价值,quality,白,quality_白_total_value,1,26896,0,0,[],0,26896,True,661
session_2c638af970fff0d9,1,public,901,max_item_value,显示本局单件价值最高的藏品价值,global,max_item_value,max_item_value,1,1733281,0,0,[],0,1733281,True,678
session_2c638af970fff0d9,1,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,"[1, 3]",0,2,True,685
session_2c638af970fff0d9,2,public,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,0,4,8,[],0,4,True,693
session_2c638af970fff0d9,2,personal,1803,size_average_value,计算本局所有规格为1×3的藏品平均价值,size,1x3,size_1x3_average_value,1,70278,0,0,[],0,70278.0,True,697
session_2c638af970fff0d9,3,public,1001,max_value_per_cell,显示本局单个单位格最高价值,global,max_value_per_cell,max_value_per_cell,1,433320,0,0,[],0,433320.25,True,708
session_2c638af970fff0d9,3,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,"[1, 4]",0,2,True,712
session_2c638af970fff0d9,4,public,101,reveal_outline_by_size,显示所有规格为1×1的藏品轮廓,size,1x1,size_1x1_count,1,0,6,6,[],0,6,True,723
session_2c638af970fff0d9,4,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,"[4, 5]",0,2,True,727
session_2c638af970fff0d9,5,public,1201,total_occupied_cells,计算本局所有藏品的总占格数,global,total_occupied_cells,total_occupied_cells,1,131,0,0,[],0,131,True,738
session_2c638af970fff0d9,5,personal,1701,reveal_position_by_quality,显示所有白色品质藏品的位置,quality,白,quality_白_count,1,0,4,4,[],0,4,True,742
session_68af14854bfd495d,1,public,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,20,0,0,[],0,20,True,759
session_68af14854bfd495d,1,personal,303,quality_item_count,显示本局紫色品质藏品数量,quality,紫,quality_紫_count,1,18,0,0,[],0,18,True,766
session_12f3a680c5469c17,1,public,604,quality_total_value,计算本局金色品质藏品总价值,quality,金,quality_金_total_value,1,1848650,0,0,[],0,1848650,True,780
session_12f3a680c5469c17,1,personal,1902,quality_average_area,计算本局所有蓝色品质藏品的平均占用格数,quality,蓝,quality_蓝_average_area,100,287,0,0,[],0,287.5,False,787
session_12f3a680c5469c17,2,public,106,reveal_outline_by_size,显示所有规格为2×3的藏品轮廓,size,2x3,size_2x3_count,1,0,2,12,[],0,2,True,796
session_12f3a680c5469c17,2,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,1,[2],1,1,True,799
session_12f3a680c5469c17,3,public,1705,reveal_position_by_quality,显示所有彩色品质藏品的位置,quality,彩,quality_彩_count,1,0,3,3,[],0,3,True,809
session_12f3a680c5469c17,3,personal,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,0,1,4,[2],1,1,True,813
session_12f3a680c5469c17,4,public,104,reveal_outline_by_size,显示所有规格为2×1的藏品轮廓,size,2x1,size_2x1_count,1,0,8,16,[],0,8,True,822
session_12f3a680c5469c17,4,personal,1904,quality_average_area,计算本局所有金色品质藏品的平均占用格数,quality,金,quality_金_average_area,100,340,0,0,[],0,340.0,True,825
session_12f3a680c5469c17,5,public,1101,highest_quality,显示本局藏品的最高品质,global,highest_quality,highest_quality,1,5,0,0,[],0,5,True,835
session_12f3a680c5469c17,5,personal,1703,reveal_position_by_quality,显示所有紫色品质藏品的位置,quality,紫,quality_紫_count,1,0,11,11,[],0,11,True,839
session_a79e37bd31fb9066,1,public,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,0,3,12,"[1, 3, 4]",3,3,True,854
session_a79e37bd31fb9066,1,personal,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,0,4,4,[],0,4,True,862
session_a79e37bd31fb9066,2,public,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,0,5,10,[],0,5,True,869
session_a79e37bd31fb9066,2,personal,1807,size_average_value,计算本局所有规格为3×1的藏品平均价值,size,3x1,size_3x1_average_value,1,138430,0,0,[],0,138430.6,False,875
session_a79e37bd31fb9066,3,public,1101,highest_quality,显示本局藏品的最高品质,global,highest_quality,highest_quality,1,4,0,0,[],0,5,False,882
session_a79e37bd31fb9066,3,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,"[1, 4]",0,2,True,886
session_12c78a69e30ddf51,1,public,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,9,0,0,[],0,9,True,903
session_12c78a69e30ddf51,1,personal,1901,quality_average_area,计算本局所有白色品质藏品的平均占用格数,quality,白,quality_白_average_area,100,200,0,0,[],0,200.0,True,910
session_12c78a69e30ddf51,2,public,102,reveal_outline_by_size,显示所有规格为1×2的藏品轮廓,size,1x2,size_1x2_count,1,0,3,6,[],0,3,True,918
session_12c78a69e30ddf51,2,personal,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,0,2,2,[3],0,2,True,922
session_12c78a69e30ddf51,3,public,1201,total_occupied_cells,计算本局所有藏品的总占格数,global,total_occupied_cells,total_occupied_cells,1,52,0,0,[],0,52,True,933
session_12c78a69e30ddf51,3,personal,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,0,4,4,[],0,4,True,936
session_12c78a69e30ddf51,4,public,103,reveal_outline_by_size,显示所有规格为1×3的藏品轮廓,size,1x3,size_1x3_count,1,0,1,3,[],0,1,True,948
session_12c78a69e30ddf51,4,personal,1903,quality_average_area,计算本局所有紫色品质藏品的平均占用格数,quality,紫,quality_紫_average_area,100,400,0,0,[],0,400.0,True,951
session_b1ff9d2373d8d9aa,1,public,1001,max_value_per_cell,显示本局单个单位格最高价值,global,max_value_per_cell,max_value_per_cell,1,799999,0,0,[],0,799999.0,True,970
session_b1ff9d2373d8d9aa,1,personal,601,quality_total_value,计算本局白色品质藏品总价值,quality,白,quality_白_total_value,1,23823,0,0,[],0,23823,True,974
session_a794ce7b1b54092d,1,public,1704,reveal_position_by_quality,显示所有金色品质藏品的位置,quality,金,quality_金_count,1,0,4,4,[],0,4,True,991
session_a794ce7b1b54092d,1,personal,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,0,4,4,[],0,4,True,996
